,Experiment,dt,dV
0,0,0.1854584312438965,0.012823529411764706
1,1,0.18556796550750732,0.012823529411764706
2,2,0.19594205379486085,0.012823529411764706
3,3,0.19594368934631348,0.012823529411764706
4,4,0.20621941566467286,0.012823529411764706
5,5,0.20598964214324952,0.012823529411764706
6,6,0.21597410678863527,0.012823529411764706
7,7,0.21593791961669923,0.012823529411764706
8,8,0.2259918737411499,0.012823529411764706
9,9,0.22583083152770997,0.012823529411764706
10,10,0.23569116115570068,0.012823529411764706
11,11,0.23568644523620605,0.012823529411764706
12,12,0.24620645999908447,0.012823529411764706
13,13,0.24693966865539552,0.012823529411764706
14,14,0.2560110855102539,0.012823529411764706
15,15,0.2562806844711304,0.012823529411764706
16,16,0.2662265014648437,0.012823529411764706
17,17,0.2662384223937988,0.012823529411764706
18,18,0.2762573719024658,0.012823529411764706
19,19,0.27600961685180664,0.012823529411764706
